huspacy ner , emagyar lemma,,,
True,|O|,|O|,,(költségvetés költségvetés)
True,|O|,|O|,,(rossz rossz)
True,|O|,|O|,,(helyzetben helyzetben)
True,|O|,|O|,,(van van)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(eltörpül eltörpül)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(mellett mellett)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(több több)
True,|O|,|O|,,(ezer ezer)
True,|O|,|O|,,(milliárd milliárd)
True,|O|,|O|,,(mellett mellett)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(amit amit)
True,|O|,|O|,,(önök önök)
True,|O|,|O|,,(nem nem)
True,|O|,|O|,,(szedtek szedtek)
True,|O|,|O|,,(be be)
True,|O|,|O|,,(sem sem)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(szennyező szennyező)
True,|O|,|O|,,(nagyvállalatoktól nagyvállalatoktól)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(sem sem)
True,|O|,|O|,,(egyéb egyéb)
True,|O|,|O|,,(multinacionális multinacionális)
True,|O|,|O|,,(nagyvállalattól nagyvállalattól)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Ha Ha)
True,|O|,|O|,,(megnézik megnézik)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(egy egy)
True,|O|,|O|,,(munkahelyre munkahelyre)
True,|O|,|O|,,(leosztva leosztva)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(tehát tehát)
True,|O|,|O|,,(egy egy)
True,|O|,|O|,,(munkahelyet munkahelyet)
True,|O|,|O|,,(teremtve teremtve)
True,|O|,|O|,,(mennyi mennyi)
True,|O|,|O|,,(adóterhe adóterhe)
True,|O|,|O|,,(van van)
True,|O|,|O|,,(az az)
False,|B-ORG|,|O|,,(Audinak Audinak)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(mennyi mennyi)
True,|O|,|O|,,(adóterhe adóterhe)
True,|O|,|O|,,(van van)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(többi többi)
True,|O|,|O|,,(német német)
True,|O|,|O|,,(nagyvállalatnak nagyvállalatnak)
True,|O|,|O|,,(és és)
True,|O|,|O|,,(mennyi mennyi)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(mondjuk mondjuk)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(egy egy)
True,|O|,|O|,,(fodrásznak fodrásznak)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(akkor akkor)
True,|O|,|O|,,(azt azt)
True,|O|,|O|,,(fogják fogják)
True,|O|,|O|,,(látni látni)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(míg míg)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(magyar magyar)
True,|O|,|O|,,(kis- kis-)
True,|O|,|O|,,(és és)
True,|O|,|O|,,(középvállalkozásokat középvállalkozásokat)
True,|O|,|O|,,(terhelik terhelik)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(és és)
True,|O|,|O|,,(most most)
True,|O|,|O|,,(arra arra)
True,|O|,|O|,,(készülnek készülnek)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(még még)
True,|O|,|O|,,(jobban jobban)
True,|O|,|O|,,(megterheljék megterheljék)
True,|O|,|O|,,(őket őket)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(közben közben)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(multinacionális multinacionális)
True,|O|,|O|,,(nagyvállalatoknak nagyvállalatoknak)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(azoknak azoknak)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(akiknek akiknek)
True,|O|,|O|,,(lenne lenne)
True,|O|,|O|,,(lehetőségük lehetőségük)
True,|O|,|O|,,(ezt ezt)
True,|O|,|O|,,(kifizetni kifizetni)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(nem nem)
True,|O|,|O|,,(növelik növelik)
True,|O|,|O|,,(az az)
True,|O|,|O|,,(adóterhét adóterhét)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(most most)
True,|O|,|O|,,(már már)
True,|O|,|O|,,(nemzetközi nemzetközi)
True,|O|,|O|,,(harcot harcot)
True,|O|,|O|,,(is is)
True,|O|,|O|,,(folytatnak folytatnak)
True,|O|,|O|,,(azért azért)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(az az)
True,|B-ORG|,|B-ORG|,,(Audinak Audinak)
True,|O|,|O|,,(és és)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(többinek többinek)
True,|O|,|O|,,(ne ne)
True,|O|,|O|,,(kelljen kelljen)
True,|O|,|O|,,(valódi valódi)
True,|O|,|O|,,(módon módon)
True,|O|,|O|,,(részt részt)
True,|O|,|O|,,(venni venni)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(közteherviselésben közteherviselésben)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Azért Azért)
True,|O|,|O|,,(is is)
True,|O|,|O|,,(faramuci faramuci)
True,|O|,|O|,,(ez ez)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(helyzet helyzet)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(mert mert)
True,|O|,|O|,,(önök önök)
True,|O|,|O|,,(minden minden)
True,|O|,|O|,,(lépésüket lépésüket)
True,|O|,|O|,,(megpróbálják megpróbálják)
True,|O|,|O|,,(úgy úgy)
True,|O|,|O|,,(beállítani beállítani)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(mintha mintha)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(magyar magyar)
True,|O|,|O|,,(érdekek érdekek)
True,|O|,|O|,,(vezérelnék vezérelnék)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Nem Nem)
True,|O|,|O|,,(magyar magyar)
True,|O|,|O|,,(érdek érdek)
True,|O|,|O|,,(az az)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(német német)
True,|O|,|O|,,(nagytőke nagytőke)
True,|O|,|O|,,(ne ne)
True,|O|,|O|,,(fizessen fizessen)
True,|O|,|O|,,(adót adót)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Ez Ez)
True,|O|,|O|,,(német német)
True,|O|,|O|,,(érdek érdek)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Ez Ez)
True,|O|,|O|,,(nem nem)
True,|O|,|O|,,(ennek ennek)
True,|O|,|O|,,(a a)
True,|B-ORG|,|B-ORG|,,(Háznak Háznak)
True,|O|,|O|,,(az az)
True,|O|,|O|,,(érdeke érdeke)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(ez ez)
True,|O|,|O|,,(a a)
True,|B-ORG|,|B-ORG|,,(Bundestagnak Bundestagnak)
True,|O|,|O|,,(az az)
True,|O|,|O|,,(érdeke érdeke)
True,|O|,|O|,,(; ;)
True,|O|,|O|,,(ha ha)
True,|O|,|O|,,(ezt ezt)
True,|O|,|O|,,(akarják akarják)
True,|O|,|O|,,(képviselni képviselni)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(akkor akkor)
True,|O|,|O|,,(ott ott)
True,|O|,|O|,,(kell kell)
True,|O|,|O|,,(erről erről)
True,|O|,|O|,,(felszólalni felszólalni)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Összességében Összességében)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(mi mi)
True,|O|,|O|,,(álláspontunk álláspontunk)
True,|O|,|O|,,(az az)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(globális globális)
True,|O|,|O|,,(multiadó multiadó)
True,|O|,|O|,,(egy egy)
True,|O|,|O|,,(dolog dolog)
True,|O|,|O|,,(miatt miatt)
True,|O|,|O|,,(jó jó)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(bár bár)
True,|O|,|O|,,(tudom tudom)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(benne benne)
True,|O|,|O|,,(van van)
True,|O|,|O|,,(a a)
True,|O|,|O|,,(globális globális)
True,|O|,|O|,,(szó szó)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(amit amit)
True,|O|,|O|,,(önök önök)
True,|O|,|O|,,(nem nem)
True,|O|,|O|,,(szeretnek szeretnek)
True,|O|,|O|,,(: :)
True,|O|,|O|,,(mert mert)
True,|O|,|O|,,(az az)
True,|O|,|O|,,(is is)
True,|O|,|O|,,(benne benne)
True,|O|,|O|,,(van van)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(multi multi)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(és és)
True,|O|,|O|,,(az az)
True,|O|,|O|,,(is is)
True,|O|,|O|,,"(, ,)"
True,|O|,|O|,,(hogy hogy)
True,|O|,|O|,,(adó adó)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(Köszönöm Köszönöm)
True,|O|,|O|,,(szépen szépen)
True,|O|,|O|,,(. .)
True,|O|,|O|,,(( ()
True,|O|,|O|,,(Taps Taps)
True,|O|,|O|,,(az az)
True,|O|,|O|,,(ellenzéki ellenzéki)
True,|O|,|O|,,(padsorokból padsorokból.)
huspacy,|O|,,,(.)
True,|O|,|O|,,() ))
